datetime,open,high,low,close,volume
2025-02-20 20:30:00+00:00,189.654,189.676,189.577,189.628,2976
2025-02-20 20:45:00+00:00,189.628,189.678,189.616,189.621,3266
2025-02-20 21:00:00+00:00,189.616,189.618,189.558,189.577,1541
2025-02-20 21:15:00+00:00,189.578,189.604,189.558,189.566,1392
2025-02-20 21:30:00+00:00,189.564,189.608,189.554,189.582,869
2025-02-20 21:45:00+00:00,189.583,189.596,189.546,189.566,845
2025-02-20 22:00:00+00:00,189.577,189.58,189.449,189.547,47
2025-02-20 22:15:00+00:00,189.533,189.589,189.418,189.446,127
2025-02-20 22:30:00+00:00,189.44,189.498,189.42,189.46,478
2025-02-20 22:45:00+00:00,189.454,189.466,189.406,189.438,436
2025-02-20 23:00:00+00:00,189.426,189.496,189.4,189.433,651
2025-02-20 23:15:00+00:00,189.435,189.544,189.236,189.281,1335
2025-02-20 23:30:00+00:00,189.284,189.606,189.204,189.396,2547
2025-02-20 23:45:00+00:00,189.408,189.434,189.25,189.386,2365
2025-02-21 00:00:00+00:00,189.382,189.698,189.368,189.65,2442
2025-02-21 00:15:00+00:00,189.65,189.802,189.636,189.745,2856
2025-02-21 00:30:00+00:00,189.744,189.815,189.604,189.626,2430
2025-02-21 00:45:00+00:00,189.623,189.732,189.54,189.678,2585
2025-02-21 01:00:00+00:00,189.676,189.912,189.634,189.68,3910
2025-02-21 01:15:00+00:00,189.682,189.895,189.673,189.875,3757
2025-02-21 01:30:00+00:00,189.873,190.384,189.872,190.285,3915
2025-02-21 01:45:00+00:00,190.288,190.4,190.154,190.278,3666
2025-02-21 02:00:00+00:00,190.278,190.31,190.164,190.262,2577
2025-02-21 02:15:00+00:00,190.263,190.682,190.22,190.662,3457
2025-02-21 02:30:00+00:00,190.662,190.927,190.624,190.647,3599
2025-02-21 02:45:00+00:00,190.647,190.75,190.592,190.704,2682
2025-02-21 03:00:00+00:00,190.706,190.708,190.5,190.569,2463
2025-02-21 03:15:00+00:00,190.57,190.726,190.531,190.68,1927
2025-02-21 03:30:00+00:00,190.678,190.678,190.339,190.404,2035
2025-02-21 03:45:00+00:00,190.407,190.476,190.323,190.451,1167
2025-02-21 04:00:00+00:00,190.45,190.463,190.22,190.24,1910
2025-02-21 04:15:00+00:00,190.242,190.38,190.196,190.319,1729
2025-02-21 04:30:00+00:00,190.32,190.374,190.199,190.36,1776
2025-02-21 04:45:00+00:00,190.368,190.412,190.322,190.388,1593
2025-02-21 05:00:00+00:00,190.385,190.416,190.332,190.339,2005
2025-02-21 05:15:00+00:00,190.34,190.455,190.322,190.41,2174
2025-02-21 05:30:00+00:00,190.41,190.486,190.377,190.43,2224
2025-02-21 05:45:00+00:00,190.43,190.49,190.315,190.364,2188
2025-02-21 06:00:00+00:00,190.362,190.573,190.292,190.573,1949
2025-02-21 06:15:00+00:00,190.57,190.632,190.465,190.524,2853
2025-02-21 06:30:00+00:00,190.525,190.584,190.457,190.519,2445
2025-02-21 06:45:00+00:00,190.518,190.588,190.438,190.567,2836
2025-02-21 07:00:00+00:00,190.577,190.829,190.577,190.618,4034
2025-02-21 07:15:00+00:00,190.618,190.778,190.55,190.742,3737
2025-02-21 07:30:00+00:00,190.744,190.928,190.744,190.882,3748
2025-02-21 07:45:00+00:00,190.882,190.945,190.706,190.735,4074
2025-02-21 08:00:00+00:00,190.74,190.788,190.581,190.734,5330
2025-02-21 08:15:00+00:00,190.725,190.725,190.296,190.458,6417
2025-02-21 08:30:00+00:00,190.484,190.727,190.484,190.504,5232
2025-02-21 08:45:00+00:00,190.502,190.532,190.348,190.44,4254
2025-02-21 09:00:00+00:00,190.456,190.491,190.285,190.342,4563
2025-02-21 09:15:00+00:00,190.342,190.37,190.233,190.246,4097
2025-02-21 09:30:00+00:00,190.204,190.28,190.014,190.168,4168
2025-02-21 09:45:00+00:00,190.163,190.358,190.142,190.352,4011
2025-02-21 10:00:00+00:00,190.35,190.382,190.284,190.354,3483
2025-02-21 10:15:00+00:00,190.352,190.392,190.314,190.368,2804
2025-02-21 10:30:00+00:00,190.364,190.411,190.182,190.227,2770
2025-02-21 10:45:00+00:00,190.224,190.27,190.172,190.181,2663
2025-02-21 11:00:00+00:00,190.18,190.229,190.14,190.205,3014
2025-02-21 11:15:00+00:00,190.205,190.244,190.088,190.1,2343
2025-02-21 11:30:00+00:00,190.099,190.152,189.949,189.954,2592
2025-02-21 11:45:00+00:00,189.952,190.066,189.95,190.027,2525
2025-02-21 12:00:00+00:00,190.022,190.128,189.99,190.05,2915
2025-02-21 12:15:00+00:00,190.05,190.158,190.046,190.108,2424
2025-02-21 12:30:00+00:00,190.108,190.192,190.084,190.188,2349
2025-02-21 12:45:00+00:00,190.187,190.242,190.14,190.199,2860
2025-02-21 13:00:00+00:00,190.198,190.27,190.18,190.234,3315
2025-02-21 13:15:00+00:00,190.233,190.238,190.065,190.144,3338
2025-02-21 13:30:00+00:00,190.144,190.35,190.144,190.269,4644
2025-02-21 13:45:00+00:00,190.27,190.37,190.223,190.237,4030
2025-02-21 14:00:00+00:00,190.236,190.296,190.094,190.102,4375
2025-02-21 14:15:00+00:00,190.101,190.228,190.052,190.192,3721
2025-02-21 14:30:00+00:00,190.19,190.2,189.918,190.01,4726
2025-02-21 14:45:00+00:00,189.99,189.998,189.505,189.594,5249
2025-02-21 15:00:00+00:00,189.604,189.61,189.308,189.353,5986
2025-02-21 15:15:00+00:00,189.35,189.431,189.026,189.034,5922
2025-02-21 15:30:00+00:00,189.034,189.127,188.906,188.91,5253
2025-02-21 15:45:00+00:00,188.911,189.122,188.908,189.008,5083
2025-02-21 16:00:00+00:00,189.008,189.18,188.996,189.17,4220
2025-02-21 16:15:00+00:00,189.172,189.214,188.86,188.935,4004
2025-02-21 16:30:00+00:00,188.934,189.108,188.852,189.054,3095
2025-02-21 16:45:00+00:00,189.053,189.095,188.916,189.032,3251
2025-02-21 17:00:00+00:00,189.032,189.098,188.931,189.036,3748
2025-02-21 17:15:00+00:00,189.029,189.076,188.784,188.794,4087
2025-02-21 17:30:00+00:00,188.796,188.906,188.68,188.872,3836
2025-02-21 17:45:00+00:00,188.87,188.871,188.64,188.681,3421
2025-02-21 18:00:00+00:00,188.678,188.681,188.276,188.38,4627
2025-02-21 18:15:00+00:00,188.38,188.504,188.294,188.298,4826
2025-02-21 18:30:00+00:00,188.298,188.502,188.243,188.444,4554
2025-02-21 18:45:00+00:00,188.439,188.488,188.363,188.414,3884
2025-02-21 19:00:00+00:00,188.415,188.422,188.175,188.311,3451
2025-02-21 19:15:00+00:00,188.31,188.406,188.152,188.198,3155
2025-02-21 19:30:00+00:00,188.197,188.31,188.192,188.264,4068
