equity,drawdown,position
9998.725730000015,2.6655686199471913e-05,1
9998.726860000015,2.6542674810806468e-05,1
9998.728140000016,2.6414661910393813e-05,1
9998.729580000016,2.6270647397475056e-05,1
9998.730450000015,2.6183638629268466e-05,1
9998.730530000015,2.6175637823015415e-05,1
9998.731060000015,2.612263248152073e-05,1
9998.732010000014,2.602762290706109e-05,1
9998.732670000014,2.596161625533698e-05,1
9998.734010000015,2.5827602750189057e-05,1
9998.735830000014,2.5645584407522825e-05,1
9998.737590000013,2.5469566669591862e-05,1
9998.739690000013,2.5259545504948995e-05,1
9998.741870000013,2.5041523534053074e-05,1
9998.744130000012,2.48155007569041e-05,1
9998.746500000012,2.4578476871043488e-05,1
9998.748680000012,2.4360454900147567e-05,1
9998.750860000011,2.414243292925165e-05,1
9998.753020000011,2.3926411159873513e-05,1
9998.75514000001,2.371438979371286e-05,1
9998.75712000001,2.3516369838540526e-05,1
9998.75920000001,2.3308348875415442e-05,1
9998.76080000001,2.3148332749990582e-05,1
9998.762100000009,2.3018319648060142e-05,1
9998.76366000001,2.286230392567085e-05,1
9998.76493000001,2.2735291126017087e-05,1
9998.76559000001,2.2669284474292974e-05,1
9998.76623000001,2.2605278024086647e-05,1
9998.76711000001,2.2517269155121166e-05,1
9998.76787000001,2.2441261495444304e-05,1
9998.769430000011,0.0,1
9998.770050000012,0.0,1
9998.770510000011,0.0,1
9998.77047000001,4.00049193733364e-09,1
9998.77113000001,0.0,1
9998.77143000001,0.0,1
9998.77104000001,3.9004791935994674e-08,1
9998.77028000001,1.1501413029624438e-07,1
9998.77220000001,0.0,1
9998.77308000001,0.0,1
9998.773620000009,0.0,1
9998.77344000001,1.8002207663823093e-08,1
9998.77268000001,9.401152937598602e-08,1
9998.77186000001,1.7602158685480913e-07,1
9998.77113000001,2.490305405017207e-07,1
9998.77019000001,3.4304206987770673e-07,1
9998.76939000001,4.2305188210097646e-07,1
9998.76833000001,5.290648833741254e-07,1
9998.766490000009,7.130874516149906e-07,1
9998.764290000008,9.331144353654233e-07,1
9998.762050000008,1.1571419096269628e-06,1
9998.76029000001,1.333163496481772e-06,1
9998.75903000001,1.4591789506742973e-06,1
9998.75773000001,1.5891948955598508e-06,1
9998.75713000001,1.6492022546818227e-06,1
9998.75649000001,1.7132101044968227e-06,1
9998.75573000001,1.7892194262089856e-06,1
9998.75469000001,1.89323218204466e-06,1
9998.75463000001,1.8992329179932415e-06,1
9998.75427000001,1.935237333502809e-06,1
9998.75481000001,1.8812307103294182e-06,1
9998.75515000001,1.8472265400754044e-06,1
9998.75432000001,1.930236720363925e-06,1
9998.753920000008,1.970241626566521e-06,1
9998.752620000008,2.100257571452074e-06,1
9998.751140000008,2.2482757241833722e-06,1
9998.750260000008,2.3362865176107765e-06,1
9998.749880000008,2.3742911783758974e-06,1
9998.74856000001,2.5063073685170044e-06,1
9998.74659000001,2.7033315311008877e-06,1
9998.74470000001,2.8923547124806366e-06,1
9998.74276000001,3.08637850718119e-06,1
9998.74051000001,3.3114061040705065e-06,1
9998.73831000001,3.531433087820939e-06,1
9998.73665000001,3.6974534482160598e-06,1
9998.73485000001,3.877475525763897e-06,1
9998.73299000001,4.063498339260315e-06,1
9998.730430000009,4.319529738520315e-06,1
9998.727790000008,4.583562118984451e-06,1
9998.726420000008,4.720578922446362e-06,1
9998.726810000007,4.681574139053465e-06,1
9998.727850000007,4.57756138321779e-06,1
9998.728610000007,4.501552061505628e-06,1
9998.729350000007,4.427542985230939e-06,1
9998.729230000006,4.439544457128102e-06,1
9998.729010000006,4.461547155484953e-06,1
9998.728650000006,4.497551570994521e-06,1
9998.729250000006,4.437544211872549e-06,1
9998.728720000006,4.490550712418163e-06,1
9998.727020000006,4.660571563506312e-06,1
9998.726520000006,4.710577696168595e-06,1
9998.726480000005,4.714578186861623e-06,1
9998.726490000005,4.7135780642338464e-06,1
9998.726070000004,4.755583215691996e-06,1
9998.726470000005,4.7155783094894e-06,1
9998.727710000005,4.591563100552428e-06,1
9998.728330000005,4.529555495992982e-06,1
9998.728660000006,4.4965514483667444e-06,1
9998.728140000007,4.548557826284581e-06,1
9998.728080000006,4.5545585622331626e-06,1
9998.727740000006,4.588562732487176e-06,1
9998.726320000005,4.7305801492698935e-06,1
9998.724660000005,4.896600509665014e-06,1
9998.722480000006,5.114627247977972e-06,1
9998.720460000006,5.31665202388266e-06,1
9998.718690000005,5.493673733547167e-06,1
9998.716660000006,5.696698632079632e-06,1
9998.715020000005,5.8607187472192e-06,1
9998.713000000005,6.062743523123888e-06,1
9998.711140000005,6.248766336620307e-06,1
9998.709980000005,6.364780564353144e-06,1
9998.708960000005,6.466793074933265e-06,1
9998.707800000006,6.582807302666102e-06,1
9998.706240000005,6.738826436601534e-06,1
9998.705120000004,6.850840173823265e-06,1
9998.703970000004,6.965854278928325e-06,1
9998.702450000004,7.11787292217073e-06,1
9998.701230000004,7.239887885852149e-06,1
9998.700150000004,7.347901132380851e-06,1
9998.699690000005,7.3939067743501065e-06,1
9998.698470000005,7.515921738031525e-06,1
9998.697630000004,7.599932040947823e-06,1
9998.696560000004,7.706945164848748e-06,1
9998.695360000003,7.826959883274613e-06,1
9998.694510000003,7.911970308818688e-06,1
9998.693550000004,8.007982083450227e-06,1
9998.692850000003,7.00091463955715e-08,1
9998.691950000004,1.600209058910868e-07,1
9998.690580000004,2.970388065898923e-07,1
9998.688820000005,4.7306180303370323e-07,1
9998.687160000005,6.390834929275423e-07,1
9998.685380000004,8.171067508268857e-07,1
9998.683640000005,9.911294859970868e-07,1
9998.679480000004,1.4071838414594508e-06,1
9998.675980000004,1.7572295732553854e-06,1
9998.672840000003,2.0712706012167294e-06,1
9998.669480000002,2.40731450373355e-06,1
9998.666530000002,2.7023530490498322e-06,1
9998.664010000002,2.954385975891967e-06,1
9998.661870000002,3.168413937625901e-06,1
9998.658870000001,3.468453136308131e-06,1
9998.65573,3.782494164269475e-06,1
9998.65301,4.0545297043934765e-06,1
9998.65037,4.3185641992411154e-06,1
9998.64755,4.600601045915089e-06,1
9998.64487,4.8686360633099475e-06,1
9998.64237,5.118668728878472e-06,1
9998.64005,5.35069904243874e-06,1
9998.63789,5.566727265446284e-06,1
9998.63619,5.736749478069266e-06,1
9998.633539999999,6.00178410355371e-06,1
9998.63238,6.117799260333844e-06,1
9998.63164,6.1918089292766344e-06,1
9998.63064,6.291821995504045e-06,1
9998.62946,6.409837413557789e-06,1
9998.6275,6.605863023283466e-06,1
9998.62508,6.847894643575629e-06,1
9998.62286,7.069923650585925e-06,1
9998.62067,7.288952265503884e-06,1
9998.61723,7.632997213297067e-06,1
9998.613659999999,7.990043859732559e-06,1
9998.610799999999,8.276081229135673e-06,1
9998.608309999998,8.525113764067393e-06,1
9998.605729999997,8.78314747491228e-06,1
9998.603129999998,9.043181447030777e-06,1
9998.599349999999,9.421230837203017e-06,1
9998.596189999998,9.737272126437971e-06,1
9998.59277,1.0079316812775622e-05,1
9998.589,1.0456366072311058e-05,1
9998.58518,1.0838415985212441e-05,1
9998.58156,1.1200463284831957e-05,1
9998.57856,1.1500502483514187e-05,1
9998.5765,1.170652939997176e-05,1
9998.57381,1.1975564548003423e-05,1
9998.57117,1.223959904285106e-05,1
9998.56891,1.2465628572408577e-05,1
9998.56687,1.2669655227410616e-05,1
9998.5642,1.2936690114168671e-05,1
9998.561020000001,1.3254731664677235e-05,1
9998.557460000002,1.3610778180293999e-05,1
9998.554680000001,1.3888814504420753e-05,1
9998.551570000001,1.4199855140289759e-05,1
9998.54757,1.45999074051994e-05,1
9998.54377,1.4979957056827172e-05,1
9998.53938,1.5419014417481815e-05,1
9998.53608,1.5749057535995887e-05,1
9998.53215,1.6142108886265966e-05,1
9998.525319999999,1.6825198128486384e-05,1
9998.51888,1.7469282274779876e-05,1
9998.51368,1.798935021901687e-05,1
9998.508820000001,1.8475413720692882e-05,1
9998.504130000001,1.8944475001179364e-05,1
9998.499090000001,1.9448540854863633e-05,1
9998.494630000001,1.9894599130157835e-05,1
9998.490430000002,2.0314654008167418e-05,1
9998.48679,2.067870156924247e-05,1
9998.48308,2.1049750044957076e-05,1
9998.47764,2.1593821125205077e-05,1
9998.47308,2.2049880707049252e-05,1
9998.46744,2.26139544003972e-05,1
9998.46196,2.316202600319242e-05,1
9998.45684,2.367409290215305e-05,1
9998.451500000001,2.420816267566916e-05,1
9998.44533,2.4825243294223147e-05,1
9998.43909,2.5449324827416694e-05,1
9998.43205,2.6153416813555782e-05,1
9998.42421,2.6937519252640414e-05,1
9998.41663,2.769561829444043e-05,1
9998.40906,2.8452717205603637e-05,1
9998.40194,2.916481023701909e-05,1
9998.39492,2.9866901961702644e-05,1
9998.38796,3.056299290256537e-05,1
9998.38086,3.1273085672707213e-05,1
