step,action,pre_position,post_position,pre_equity,post_equity,reward,cost_incurred
169,BUY,1,1,9999.440160000004,9999.439440000004,0.3802799999999988,0.0
170,BUY,1,1,9999.439440000004,9999.439040000003,0.37959999999919086,0.0
171,BUY,1,1,9999.439040000003,9999.437940000003,0.37790000000050344,0.0
172,BUY,1,1,9999.437940000003,9999.436820000003,0.3768799999991897,0.0
173,BUY,1,1,9999.436820000003,9999.436160000003,0.37634000000030204,0.0
174,BUY,1,1,9999.436160000003,9999.435240000003,0.37507999999959424,0.0
175,BUY,1,1,9999.435240000003,9999.434060000003,0.3738200000007054,0.0
176,BUY,1,1,9999.434060000003,9999.432660000004,0.3726000000008061,0.0
177,BUY,1,1,9999.432660000004,9999.431320000003,0.3716599999992904,0.0
178,BUY,1,1,9999.431320000003,9999.430260000003,0.37093999999949295,0.0
179,BUY,1,1,9999.430260000003,9999.428900000003,0.36963999999979563,0.0
180,BUY,1,1,9999.428900000003,9999.427090000003,0.36819000000024965,0.0
181,BUY,1,1,9999.427090000003,9999.424570000003,0.36647999999999586,0.0
182,BUY,1,1,9999.424570000003,9999.421920000003,0.36534999999964196,0.0
183,BUY,1,1,9999.421920000003,9999.419180000003,0.36426000000009656,0.0
184,BUY,1,1,9999.419180000003,9999.415430000003,0.36225000000014546,0.0
185,BUY,1,1,9999.415430000003,9999.411270000002,0.360839999999589,0.0
186,BUY,1,1,9999.411270000002,9999.406630000003,0.35936000000080087,0.0
187,BUY,1,1,9999.406630000003,9999.401350000004,0.3577200000005977,0.0
188,BUY,1,1,9999.401350000004,9999.396370000004,0.3570200000002951,0.0
189,BUY,1,1,9999.396370000004,9999.391610000004,0.3562400000001944,0.0
190,BUY,1,1,9999.391610000004,9999.386650000004,0.35503999999978986,0.0
191,BUY,1,1,9999.386650000004,9999.381020000004,0.3533700000003446,0.0
192,BUY,1,1,9999.381020000004,9999.375840000004,0.35281999999989055,0.0
193,BUY,1,1,9999.375840000004,9999.370620000005,0.35178000000090104,0.0
194,BUY,1,1,9999.370620000005,9999.365120000006,0.3505000000006985,0.0
195,BUY,1,1,9999.365120000006,9999.359920000006,0.3498000000003958,0.0
196,BUY,1,1,9999.359920000006,9999.354790000007,0.34887000000044643,0.0
197,BUY,1,1,9999.354790000007,9999.349410000006,0.347619999999486,0.0
198,BUY,1,1,9999.349410000006,9999.342680000007,0.34527000000084807,0.0
199,BUY,1,1,9999.342680000007,9999.335240000008,0.3435600000005943,0.0
200,BUY,1,1,9999.335240000008,9999.327860000009,0.34262000000089754,0.0
201,BUY,1,1,9999.327860000009,9999.321040000008,0.3421799999994837,0.0
202,BUY,1,1,9999.321040000008,9999.314180000008,0.34114000000049416,0.0
203,BUY,1,1,9999.314180000008,9999.307680000009,0.34050000000049474,0.0
204,BUY,1,1,9999.307680000009,9999.301640000009,0.3399599999997881,0.0
205,BUY,1,1,9999.301640000009,9999.295220000009,0.33858000000029276,0.0
206,BUY,1,1,9999.295220000009,9999.28880000001,0.33758000000029276,0.0
207,BUY,1,1,9999.28880000001,9999.281920000009,0.3361199999991804,0.0
208,BUY,1,1,9999.281920000009,9999.274710000009,0.33479000000024095,0.0
209,BUY,1,1,9999.274710000009,9999.26878000001,0.33507000000064724,0.0
210,BUY,1,1,9999.26878000001,9999.263480000009,0.334699999999284,0.0
211,BUY,1,1,9999.263480000009,9999.257650000009,0.33316999999994,0.0
212,BUY,1,1,9999.257650000009,9999.25381000001,0.3341600000006001,0.0
213,BUY,1,1,9999.25381000001,9999.249730000009,0.33291999999938704,0.0
214,BUY,1,1,9999.249730000009,9999.24631000001,0.33258000000090393,0.0
215,BUY,1,1,9999.24631000001,9999.24229000001,0.3309799999996903,0.0
216,BUY,1,1,9999.24229000001,9999.237930000008,0.3296399999991845,0.0
217,BUY,1,1,9999.237930000008,9999.232940000009,0.3280100000005477,0.0
218,BUY,1,1,9999.232940000009,9999.22781000001,0.3268700000004464,0.0
219,BUY,1,1,9999.22781000001,9999.22285000001,0.32603999999978983,0.0
220,BUY,1,1,9999.22285000001,9999.218620000009,0.3257699999995384,0.0
221,BUY,1,1,9999.218620000009,9999.214020000009,0.3243999999997904,0.0
222,BUY,1,1,9999.214020000009,9999.209620000009,0.32360000000019495,0.0
223,BUY,1,1,9999.209620000009,9999.204230000008,0.3216099999997386,0.0
224,BUY,1,1,9999.204230000008,9999.199070000008,0.3208399999993853,0.0
225,BUY,1,1,9999.199070000008,9999.193370000008,0.3193000000002939,0.0
226,BUY,1,1,9999.193370000008,9999.189040000008,0.3196700000002456,0.0
227,BUY,1,1,9999.189040000008,9999.184620000009,0.3185800000007002,0.0
228,BUY,1,1,9999.184620000009,9999.18049000001,0.31787000000065013,0.0
229,BUY,1,1,9999.18049000001,9999.17696000001,0.31747000000004477,0.0
230,BUY,1,1,9999.17696000001,9999.17326000001,0.31630000000070135,0.0
231,BUY,1,1,9999.17326000001,9999.16818000001,0.3139199999991833,0.0
232,BUY,1,1,9999.16818000001,9999.16391000001,0.31373000000054885,0.0
233,BUY,1,1,9999.16391000001,9999.15923000001,0.3123199999999924,0.0
234,BUY,1,1,9999.15923000001,9999.15505000001,0.31182000000009424,0.0
